INDEX,Layer_old,Layer_new,Layer_new_CHAT
1,SAAN_LANDS_Boundary_py,CHAT_Boundary_py,CHAT_Boundary_py
2,SAAN_LANDS_SurveyBndy_ln,CHAT_COGO_SurveyBndy_ln,CHAT_COGO_SurveyBndy_ln
3,SAAN_LANDS_EsmtBndy_ln,CHAT_COGO_UseLocations_ln,CHAT_COGO_UseLocations_ln
4,SAAN_LANDS_SubsurfOwn_py,CHAT_SubsurfOwn_py,CHAT_SubsurfOwn_py
5,SAAN_LANDS_SurfaceOwn_py,CHAT_SurfaceOwn_py,CHAT_SurfaceOwn_py
6,SAAN_LANDS_Survey_py,CHAT_Survey_py,CHAT_Survey_py
7,SAAN_LANDS_SurveyMon_pt,CHAT_SurveyMon_pt,CHAT_SurveyMon_pt
8,SAAN_LANDS_Tracts_py,CHAT_Tracts_py,CHAT_Tracts_py
9,SAAN_LANDS_TractsBndy_ln,CHAT_TractsBndy_ln,CHAT_TractsBndy_ln
10,SAAN_LANDS_Easement_py,CHAT_UseLocations_py,CHAT_UseLocations_py
